attempt_id,account_id,recovery_channel,device_risk_score,ip_risk_score,is_new_device,is_new_ip,geo_mismatch_flag,time_since_last_login_days,time_since_account_creation_days,failed_recovery_attempts_7d,hour_of_day,is_unusual_hour,onboarding_to_recovery_speed_flag,is_fraud
AT-000735,283884,email_link,0.5319,0.4881,1,1,0,8.3,9.06,3,11,0,0,1
AT-001195,546175,agent_assisted,0.344,0.3221,0,0,0,1.47,320.56,0,11,0,0,0
AT-000091,848099,security_questions,0.4345,0.2075,0,0,0,2.62,21.4,0,19,0,0,0
AT-002093,919214,email_link,0.1954,0.1107,0,1,0,7.94,55.94,0,11,0,0,0
AT-002390,721792,sms_otp,0.5782,0.1326,0,1,0,8.95,13.13,4,21,0,0,1
AT-000302,332809,email_link,0.0739,0.1221,0,0,0,8.68,23.13,2,6,0,0,0
AT-000234,435700,security_questions,0.2998,0.0953,0,0,0,10.14,48.22,0,9,0,0,0
AT-002196,495281,sms_otp,0.0244,0.0968,0,0,0,21.06,221.18,0,11,0,0,0
AT-001136,401827,email_link,0.0257,0.0804,0,1,0,5.8,107.69,0,14,0,0,0
AT-001262,171409,security_questions,0.0246,0.0826,0,1,0,3.76,146.99,1,11,0,0,0
AT-000810,164324,security_questions,0.237,0.3623,0,0,0,19.76,159.6,0,9,0,0,0
AT-000649,376981,agent_assisted,0.1635,0.0357,0,0,0,5.68,122.41,0,18,0,0,0
AT-002979,267553,email_link,0.0749,0.5724,0,0,0,10.65,8.43,0,21,0,0,0
AT-000625,604297,email_link,0.3018,0.0776,0,0,0,25.52,122.19,2,13,0,0,0
AT-000701,929485,email_link,0.0977,0.282,0,0,0,3.23,457.72,0,16,0,0,0
AT-001368,296280,sms_otp,0.0017,0.0528,0,0,0,17.8,257.55,0,21,0,0,0
AT-002424,992383,email_link,0.2679,0.4536,0,0,0,1.07,81.16,0,12,0,0,0
AT-002608,770103,email_link,0.7799,0.2884,0,0,0,5.01,60.67,0,17,0,0,0
AT-002169,791840,email_link,0.0152,0.4265,0,0,0,1.76,33.82,0,15,0,0,0
AT-000775,508757,email_link,0.8909,0.5979,1,0,1,10.08,7.41,8,9,0,0,1
AT-002436,519827,security_questions,0.569,0.0732,0,0,0,4.72,162.18,0,15,0,0,0
AT-002364,649176,email_link,0.144,0.174,0,0,0,4.81,64.01,0,23,1,0,0
AT-000864,161573,email_link,0.0948,0.0256,0,0,0,27.81,301.69,0,17,0,0,0
AT-002494,281476,security_questions,0.0384,0.0132,0,0,0,8.58,251.58,0,13,0,0,0
AT-000046,648227,email_link,0.072,0.2117,0,0,0,4.87,286.09,0,14,0,0,0
AT-002235,448545,sms_otp,0.1527,0.0947,1,0,0,6.14,133.72,0,18,0,0,0
AT-001113,503891,security_questions,0.0605,0.3937,0,0,0,2.08,59.86,0,8,0,0,0
AT-002084,578773,email_link,0.2485,0.1242,0,0,0,10.95,223.48,0,9,0,0,0
AT-003352,210124,sms_otp,0.2056,0.2335,0,0,1,0.36,221.96,0,12,0,0,0
AT-000496,918627,sms_otp,0.7755,0.3757,1,1,0,98.42,1.48,4,22,0,1,1
AT-001152,656257,email_link,0.0481,0.2452,0,1,0,26.79,415.35,0,10,0,0,0
AT-001667,834929,security_questions,0.1018,0.5332,0,0,0,2.08,188.52,0,20,0,0,0
AT-002338,159339,sms_otp,0.5592,0.4553,1,1,0,3.12,428.41,0,13,0,0,0
AT-002394,896115,security_questions,0.6882,0.5696,1,0,0,12.83,23.12,2,3,1,0,1
AT-001532,604251,sms_otp,0.2922,0.3187,0,0,0,6.36,126.42,0,13,0,0,0
AT-000877,841328,sms_otp,0.3284,0.2768,0,0,0,1.67,285.32,0,5,1,0,0
AT-003219,499891,security_questions,0.2309,0.2947,1,0,0,19.31,52.18,0,11,0,0,0
AT-003039,190694,email_link,0.5196,0.4616,0,0,0,6.9,37.42,0,6,0,0,0
AT-003279,267206,email_link,0.3534,0.1874,0,0,0,1.63,86.41,0,9,0,0,0
AT-000373,549937,security_questions,0.1674,0.3278,0,0,0,2.98,668.35,0,10,0,0,0
AT-000765,516117,sms_otp,0.1714,0.595,0,1,0,3.63,25.63,2,17,0,0,0
AT-002548,863969,agent_assisted,0.2083,0.0969,0,0,0,4.23,796.29,0,13,0,0,0
AT-000106,867835,email_link,0.666,0.3546,1,1,0,25.69,11.62,3,3,1,0,1
AT-003250,453640,security_questions,0.2574,0.2316,0,0,0,2.89,381.63,0,17,0,0,0
AT-001875,596657,email_link,0.3241,0.0179,0,0,0,3.83,354.25,0,23,1,0,0
AT-002463,340001,email_link,0.2387,0.1417,0,0,0,9.52,455.02,0,9,0,0,0
AT-001155,647528,security_questions,0.2077,0.2743,1,1,1,3.77,525.64,0,9,0,0,0
AT-001209,523871,agent_assisted,0.0609,0.0488,0,0,0,8.99,465.95,0,10,0,0,0
AT-002179,668745,sms_otp,0.406,0.3439,0,0,0,7.42,402.06,0,16,0,0,0
AT-003050,998056,sms_otp,0.0726,0.2583,0,1,1,5.98,55.85,0,9,0,0,0
AT-001352,313714,sms_otp,0.0631,0.0829,0,0,0,1.58,28.78,0,21,0,0,0
AT-000082,114034,security_questions,0.2933,0.6204,0,1,0,1.04,71.29,0,15,0,0,0
AT-003150,616552,sms_otp,0.0423,0.162,0,0,1,1.88,239.03,0,9,0,0,0
AT-000616,131726,security_questions,0.1262,0.0216,0,0,0,7.7,112.96,0,19,0,0,0
AT-002488,331305,agent_assisted,0.2833,0.0734,1,0,0,1.87,2125.58,0,15,0,0,0
AT-000402,771111,email_link,0.2207,0.1076,0,0,0,14.31,47.7,0,10,0,0,0
AT-001605,467886,security_questions,0.0619,0.4551,1,0,0,13.35,623.99,1,9,0,0,0
AT-001795,724633,email_link,0.9118,0.8844,0,0,0,10.73,222.02,0,11,0,0,0
AT-000763,734429,email_link,0.2856,0.4675,0,0,0,66.23,1.22,1,3,1,1,1
AT-000077,600893,sms_otp,0.109,0.1483,0,0,0,2.74,50.74,0,10,0,0,0
AT-003008,589795,security_questions,0.442,0.8805,0,0,0,3.68,69.41,1,16,0,0,0
AT-002135,667970,email_link,0.1989,0.1444,0,0,0,2.5,85.97,0,7,0,0,0
AT-000677,217205,sms_otp,0.046,0.2734,0,0,0,2.79,65.65,1,13,0,0,0
AT-001029,366075,security_questions,0.1641,0.4277,0,0,0,3.64,122.35,0,11,0,0,0
AT-003202,824153,sms_otp,0.2244,0.3848,0,0,0,11.83,536.79,0,12,0,0,0
AT-001229,424369,sms_otp,0.0871,0.078,1,0,0,2.29,248.2,0,9,0,0,0
AT-000415,814894,email_link,0.8117,0.88,1,0,0,31.6,1.07,3,9,0,0,1
AT-002501,751590,sms_otp,0.452,0.3325,0,1,1,183.45,0.72,2,0,1,1,1
AT-001881,955876,security_questions,0.4281,0.4825,0,0,0,19.04,198.28,0,9,0,0,0
AT-001547,780355,sms_otp,0.1539,0.2815,0,0,0,2.53,236.59,0,8,0,0,0
AT-001638,840204,sms_otp,0.7447,0.2282,0,0,0,17.7,2.43,3,19,0,1,1
AT-002936,275794,sms_otp,0.2257,0.3403,0,1,0,5.49,360.12,0,7,0,0,0
AT-001166,597302,sms_otp,0.1731,0.1922,1,0,0,17.91,40.48,0,22,0,0,0
AT-001543,607661,email_link,0.1729,0.1415,0,1,0,17.77,39.94,0,13,0,0,0
AT-000632,873491,email_link,0.2363,0.1303,0,1,0,3.62,114.03,1,11,0,0,0
AT-001036,197419,sms_otp,0.2242,0.0947,0,0,0,13.46,143.99,1,9,0,0,0
AT-002615,324116,security_questions,0.6795,0.7191,0,1,0,2.9,24.94,0,9,0,0,0
AT-000910,113603,sms_otp,0.1988,0.1504,0,0,0,4.68,218.06,0,8,0,0,0
AT-000835,865505,security_questions,0.451,0.1539,0,0,0,32.54,167.15,0,9,0,0,0
AT-000180,692930,agent_assisted,0.2926,0.45,0,0,0,11.94,166.04,0,12,0,0,0
AT-002185,513298,sms_otp,0.0715,0.0154,0,0,0,15.14,37.79,0,9,0,0,0
AT-000097,601437,email_link,0.3731,0.2003,0,1,0,3.15,43.0,0,10,0,0,0
AT-002523,273176,security_questions,0.1944,0.4005,0,0,0,2.66,202.75,0,23,1,0,0
AT-001266,433096,email_link,0.4265,0.2819,0,0,0,2.98,235.92,0,7,0,0,0
AT-002898,866079,sms_otp,0.5805,0.0592,0,1,0,1.22,1224.15,0,12,0,0,0
AT-003276,813986,email_link,0.121,0.3599,0,0,0,8.66,6.7,0,9,0,0,0
AT-003056,580031,email_link,0.2709,0.082,0,1,0,7.88,284.51,0,7,0,0,0
AT-000307,941437,email_link,0.1445,0.0212,0,0,0,6.44,48.4,0,17,0,0,0
AT-001173,336287,security_questions,0.7793,0.329,0,1,0,15.17,10.08,1,18,0,0,1
AT-001347,874247,sms_otp,0.3688,0.0102,0,0,1,2.2,89.21,0,9,0,0,0
AT-002119,948038,email_link,0.0061,0.0708,0,0,0,9.23,326.23,0,15,0,0,0
AT-003194,954138,email_link,0.1199,0.5033,0,0,0,7.29,55.29,0,16,0,0,0
AT-000513,951119,email_link,0.3195,0.5889,1,1,0,4.16,6.83,0,5,1,0,1
